feature;ranking
Bailly-Lapierre NV Brut  (Crémant de Bourgogne);89.23774030628869
Boizel NV Brut Réserve  (Champagne);88.32864939719778
Breathless NV Brut Sparkling (North Coast);88.26151433691757
Chandon NV Rosé Sparkling (California);87.66151433691758
Freixenet NV Cordon Negro Brut Sparkling (Cava);87.16151433691758
Freixenet NV Cordon Negro Extra Dry Sparkling (Cava);86.76151433691757
G. H. Mumm NV Cordon Rouge Brut  (Champagne);87.76151433691757
Gloria Ferrer NV Blanc de Noirs Sparkling (Carneros);88.0512619474313
Gloria Ferrer NV Sonoma Brut Sparkling (Sonoma County);88.66344646057348
Heidsieck & Co Monopole NV Blue Top Brut  (Champagne);87.36151433691757
Henri Abele NV Brut  (Champagne);88.16151433691758
J Vineyards & Winery NV Brut Rosé Sparkling (Russian River Valley);87.78319485174325
J. Dumangin Fils NV Le Rosé Premier Cru Brut  (Champagne);88.26151433691757
Jacquart NV Brut Mosaïque  (Champagne);88.05592212447051
Jean Laurent NV Blanc de Noirs Brut Pinot Noir (Champagne);88.96151433691756
Korbel NV Blanc de Noirs Sparkling (California);87.06151433691757
Korbel NV Brut Sparkling (California);87.2582245263697
Korbel NV Sweet Rosé Sparkling (California);86.87410394265234
Mailly Grand Cru NV Blanc de Noirs Brut Pinot Noir (Champagne);89.46151433691756
Mailly Grand Cru NV Délice Demi-Sec  (Champagne);87.66151433691758
Mumm Napa NV Brut Prestige Sparkling (Napa Valley);88.14683121537959
Mumm Napa NV Cuvée M Sparkling (Napa Valley);87.96151433691756
Pierre Sparr NV Brut Réserve Sparkling (Crémant d'Alsace);87.05592212447051
Pommery NV Brut Royal  (Champagne);88.06151433691757
Roederer Estate NV Brut Rosé Sparkling (Anderson Valley);89.86151433691757
Ruinart NV Brut Rosé  (Champagne);88.96792861409799
Segura Viudas NV Aria Estate Extra Dry Sparkling (Cava);85.71792861409799
Segura Viudas NV Extra Dry Sparkling (Cava);86.50885718224428
Segura Viudas NV Reserva Heredad Sparkling (Cava);87.56151433691757
Thiénot NV Brut  (Champagne);88.76151433691757
Thiénot NV Brut Rosé  (Champagne);87.86151433691757
